Planeta,Distancia_do_Sol_Milhoes_Km
Mercúrio,57.9
Vênus,108.2
Terra,149.6
Marte,227.9
Júpiter,778.6
Saturno,1433.5
Urano,2872.5
Netuno,4495.1
